order_id,customer_id,order_date,order_time,delivery_time,total_cost,item_count,payment_method,customer_rating,restaurant_id,restaurant_name,city,area,cuisine,avg_rating,total_ratings,price_range,delivery_available
ea5a81aa,7c329a1c,2024-08-04,7:10,48,797.58,2,COD,4.7,14f8c226,Restaurant_432,Delhi,Area_B,Mexican,4.6,1023,Medium,Yes
7f09dd22,00750b8c,2024-01-05,13:52,65,1829.31,2,Wallet,1.3,eab30c2f,Restaurant_470,Chennai,Area_C,Indian,4,4628,Low,Yes
e020448d,c0885418,2024-07-27,4:05,39,1604.65,9,COD,2.9,94e70589,Restaurant_48,Mumbai,Area_A,Chinese,4.8,2131,High,Yes
97d9c034,08022a84,2024-06-28,0:04,23,1389.15,8,UPI,3.7,28450860,Restaurant_479,Mumbai,Area_E,Thai,4.1,197,Low,Yes
493d455b,77db289e,2024-05-17,11:46,21,225.25,3,UPI,3.5,bf0d16e8,Restaurant_399,Kolkata,Area_E,Chinese,2.9,3843,High,Yes
53e4c78f,68a17f17,2024-10-27,16:25,15,1170.99,7,"Net Banking",4.6,d0b43dbe,Restaurant_413,Kolkata,Area_C,Italian,4.2,2282,Medium,No
7d544897,da50cd1f,2024-01-06,0:56,25,1489.01,7,COD,2.7,e6f5e6b1,Restaurant_54,Mumbai,Area_C,Thai,4.8,3055,High,Yes
d5fbbc19,d3c28f0e,2024-07-25,2:06,74,527.85,7,"Credit Card",3.1,d4eb642a,Restaurant_52,Kolkata,Area_C,Chinese,2.5,4944,Low,Yes
e06eadb7,e37c9348,2024-12-01,23:34,86,1566.55,9,UPI,3.6,6a557120,Restaurant_395,Bangalore,Area_A,Indian,3.4,3177,Low,No
e142d877,c0a7f6e4,2024-10-21,18:05,59,1901.4,3,UPI,2.5,20fd72ee,Restaurant_64,Delhi,Area_A,Thai,3.3,4037,High,Yes
26aa6d23,25c684c1,2024-09-28,23:01,29,299.2,6,UPI,2,5e9ad80d,Restaurant_37,Delhi,Area_C,Thai,3.6,4385,Low,No
ef862104,94c75dc9,2024-07-13,23:29,76,1066.17,2,COD,2.7,228796c5,Restaurant_319,Delhi,Area_E,Indian,4,3495,Medium,Yes
ee75bcda,815240b5,2024-04-01,10:49,67,510.73,8,"Net Banking",3.2,96c583bb,Restaurant_318,Bangalore,Area_A,Thai,3,2572,Medium,Yes
04692a8a,26c5b8b1,2024-01-09,1:48,82,788.83,3,"Net Banking",4.9,d2a546bc,Restaurant_258,Mumbai,Area_E,Thai,4.7,3806,High,No
83845749,e85c7846,2024-01-21,16:38,81,1917.09,2,"Net Banking",2.5,369bf88e,Restaurant_33,Bangalore,Area_D,Thai,3.4,1133,Low,No
e4aa3944,4744adb3,2024-07-22,1:40,43,880.75,2,"Credit Card",4.1,c71efa45,Restaurant_120,Mumbai,Area_C,Chinese,4.3,2859,Medium,No
55cd421c,81f67200,2024-08-04,2:28,22,1842.33,1,COD,4.8,9f137e8a,Restaurant_404,Bangalore,Area_B,Italian,4.2,851,High,Yes
da0b703b,0c7ac64e,2024-11-06,6:30,21,1327.12,3,Wallet,1.7,7a6b060d,Restaurant_89,Chennai,Area_B,Mexican,2.9,2787,High,Yes
e7d7c3c8,78ecf57c,2024-07-01,8:50,21,428.82,3,"Credit Card",2.3,9ff72da6,Restaurant_173,Mumbai,Area_B,Indian,4.6,2224,Medium,Yes
42e1767d,63c1dcb8,2024-11-24,22:00,18,1883.86,3,Wallet,4.2,62026a9a,Restaurant_382,Bangalore,Area_B,Thai,3.8,4439,High,No
d8c6c563,0c93b1d9,2024-02-08,23:42,22,902.9,1,Wallet,4,ab601722,Restaurant_79,Mumbai,Area_E,Mexican,4.5,1115,High,No
fffbc150,076ea892,2024-02-13,20:15,54,303.11,1,COD,1.7,2a7a8abf,Restaurant_351,Mumbai,Area_E,Thai,4.2,2497,High,No
0be22cfe,82b6752c,2024-01-12,4:23,64,1650.2,4,COD,1.2,0ae349c2,Restaurant_429,Mumbai,Area_B,Italian,2.9,571,Low,Yes
389a499d,f33023de,2024-09-11,5:03,22,1226.41,3,UPI,1.2,51bc9499,Restaurant_17,Mumbai,Area_A,Thai,5,936,Low,Yes
31e0ca56,5c50cbd7,2024-07-18,17:12,74,426.35,10,UPI,2.8,dddddf29,Restaurant_180,Kolkata,Area_D,Chinese,2.7,3242,Medium,Yes
9b1737fb,e5253af5,2024-09-03,0:29,42,305.12,1,UPI,2.6,cb476aae,Restaurant_358,Delhi,Area_D,Chinese,5,2512,Medium,No
dc48db49,8fb283ef,2024-04-04,13:01,33,662.03,9,COD,2.1,79617b25,Restaurant_23,Delhi,Area_C,Thai,2.5,4170,High,Yes
654e77cf,970bfdcf,2024-01-19,10:45,18,1456.34,8,Wallet,2.7,fe75f9a6,Restaurant_427,Bangalore,Area_B,Mexican,3.7,2337,Low,No
5c68f49e,c9ad6b1e,2024-10-15,1:17,89,1960.73,9,UPI,2.7,ce8f2030,Restaurant_307,Delhi,Area_C,Italian,3.5,2995,High,Yes
a14cc5b7,0300315c,2024-03-25,22:36,49,1401.7,1,"Net Banking",1.2,c1244b75,Restaurant_25,Delhi,Area_C,Mexican,3.6,874,High,No
f3959143,50fe7891,2024-09-01,18:47,19,1789.66,5,Wallet,1.8,b62af499,Restaurant_453,Mumbai,Area_E,Italian,2.8,902,Low,Yes
96356b53,535a2da5,2024-01-13,13:12,27,1347.07,3,Wallet,1.9,f2bb6dd3,Restaurant_151,Mumbai,Area_D,Italian,2.6,4022,Low,Yes
90413c16,6accc025,2024-02-12,20:21,51,665.34,4,UPI,2.6,97ba5c47,Restaurant_304,Bangalore,Area_A,Thai,2.9,595,High,Yes
b837b9a6,9629a26a,2024-04-02,22:02,81,1844.65,3,UPI,3.5,f6a4fedc,Restaurant_368,Mumbai,Area_C,Thai,2.5,2663,Medium,No
735edc53,0319a1ea,2024-02-26,18:46,48,468.88,4,UPI,2.7,2f6d7840,Restaurant_104,Kolkata,Area_C,Chinese,4.8,1428,High,Yes
915b5bf3,f75f61bc,2024-11-11,2:12,75,597.44,8,UPI,4.8,5a47cc33,Restaurant_5,Delhi,Area_E,Chinese,4.5,3826,Medium,No
80bced47,c46a32ef,2024-12-20,2:35,28,930.85,5,"Net Banking",4.6,5f0a9f32,Restaurant_105,Bangalore,Area_B,Chinese,3.2,2200,High,Yes
67c376d5,c74bfa16,2024-11-01,7:17,18,1274.69,2,"Net Banking",3.4,a8e96359,Restaurant_158,Bangalore,Area_C,Chinese,2.9,4733,High,No
9839802,15338b57,2024-11-15,5:57,31,1402.69,5,UPI,2.7,02df79eb,Restaurant_15,Mumbai,Area_E,Italian,4.9,4486,High,Yes
f11acb64,57a6f3bc,2024-04-10,17:00,82,145.45,4,COD,2,8bb9a4b0,Restaurant_0,Mumbai,Area_A,Mexican,3.6,3062,Medium,No
4e123c01,327dda03,2024-09-12,11:14,71,1453.11,9,"Credit Card",4.3,4290a87b,Restaurant_174,Kolkata,Area_A,Indian,3.3,3119,High,No
5845b21e,ad000800,2024-03-02,3:38,60,1525.71,4,Wallet,1.3,3d59878b,Restaurant_260,Chennai,Area_E,Thai,4.6,1335,Low,No
7db29269,d7f8bd00,2024-12-02,18:00,89,1159.33,1,"Credit Card",4.9,c317908c,Restaurant_443,Chennai,Area_D,Mexican,3,2832,Medium,Yes
46075c8e,b0444c04,2024-02-03,6:42,20,1650.55,2,UPI,5,2f6d7840,Restaurant_104,Kolkata,Area_C,Chinese,4.8,1428,High,Yes
11b5078c,a5c4b5fa,2024-12-24,21:47,67,601.19,9,"Credit Card",2.1,fcd19837,Restaurant_184,Kolkata,Area_B,Thai,2.9,4456,Low,No
855cfa79,1470cf4c,2024-08-12,20:52,83,580.71,4,"Net Banking",3.3,78805df4,Restaurant_412,Chennai,Area_D,Mexican,3.5,4961,High,No
8575f654,f7b07849,2024-10-08,10:14,54,158.09,3,UPI,4.3,10504ca1,Restaurant_426,Kolkata,Area_B,Mexican,4.4,1400,Low,No
6a3ac339,64353689,2024-05-27,11:46,52,218.69,9,UPI,3.8,2850b98f,Restaurant_204,Kolkata,Area_B,Thai,4.8,2772,High,Yes
0dca1354,7da65901,2024-08-15,1:18,56,1641.44,7,"Credit Card",2,1d9ef47d,Restaurant_266,Mumbai,Area_A,Thai,4.1,1731,Low,Yes
1d5eb064,205ed738,2024-04-24,7:05,76,252.85,9,"Net Banking",3.2,60723d0e,Restaurant_88,Chennai,Area_A,Thai,3.3,2168,High,No
77a058c1,6.66E+06,2024-05-26,10:49,89,507.44,2,UPI,2.6,59b862ed,Restaurant_341,Bangalore,Area_B,Mexican,3.6,800,Low,Yes
25e708ff,92a9cf5a,2024-01-14,2:50,90,1392.52,9,UPI,1.6,4e7b5c84,Restaurant_259,Mumbai,Area_B,Mexican,4.3,3998,High,Yes
eb26c5bc,e0df9267,2024-09-15,7:40,21,573.7,3,COD,2,e224a5ea,Restaurant_240,Mumbai,Area_A,Mexican,5,2978,High,No
4e33a5e2,43282269,2024-03-28,4:41,15,381.85,10,"Credit Card",2.5,5fef57bb,Restaurant_471,Mumbai,Area_A,Italian,2.6,1936,High,No
8bf3418d,1f9c316e,2024-04-19,0:22,71,1817.71,5,Wallet,2.7,9ff72da6,Restaurant_173,Mumbai,Area_B,Indian,4.6,2224,Medium,Yes
ccb955f3,b686bb95,2024-07-13,22:31,32,1655.93,2,Wallet,1.1,7dbcbb29,Restaurant_480,Bangalore,Area_B,Mexican,3.8,268,High,No
86e65064,bc346923,2024-12-20,15:50,43,1530.83,9,Wallet,4.9,8c077be2,Restaurant_485,Mumbai,Area_D,Chinese,3.2,1999,Low,Yes
d75cb2ba,d9aea012,2024-08-01,6:09,85,668.7,8,"Credit Card",1.8,52758fa7,Restaurant_233,Bangalore,Area_D,Indian,2.7,3706,Low,Yes
d3593377,f093388c,2024-10-16,15:29,21,746.32,10,"Credit Card",1.6,fcc5c2d6,Restaurant_310,Chennai,Area_B,Italian,3.4,2140,Low,No
3ff5e752,0c596921,2024-08-01,19:44,44,1018.39,8,UPI,1.6,a638af19,Restaurant_297,Kolkata,Area_A,Mexican,2.6,4934,Medium,Yes
82b862a0,51b87c53,2024-02-08,1:34,70,179.28,2,COD,2.8,f146994a,Restaurant_483,Kolkata,Area_A,Indian,4.3,4202,Medium,No
7a726224,671b39b7,2024-05-24,12:47,22,497.47,2,"Credit Card",3.5,b09f66d7,Restaurant_109,Bangalore,Area_B,Chinese,4.3,3618,Low,Yes
d0b45d1b,17c1b6d4,2024-08-15,8:04,88,1812.33,9,"Credit Card",1.4,427b24bc,Restaurant_496,Delhi,Area_C,Mexican,3.2,804,Medium,Yes
ccab1083,066e2ac0,2024-12-24,19:45,56,1380.02,10,COD,2.8,70c91766,Restaurant_339,Kolkata,Area_B,Chinese,4.4,4620,Medium,Yes
198c7387,6e43118a,2024-09-25,12:30,40,274.44,6,"Credit Card",4,1969672f,Restaurant_402,Chennai,Area_D,Indian,4.4,2776,Low,Yes
8b153582,de583843,2024-12-19,21:26,56,1449.41,8,"Net Banking",2.9,8058c87e,Restaurant_199,Chennai,Area_D,Italian,3,3073,Low,No
920929cb,481e38f8,2024-07-17,4:39,73,1348.82,1,UPI,4.6,5b2f1c9a,Restaurant_498,Kolkata,Area_A,Chinese,4.7,1844,Low,No
fc38741d,944ad2d8,2024-05-10,21:42,23,1143.67,6,"Net Banking",3.2,04dc9812,Restaurant_39,Delhi,Area_A,Mexican,3.7,2680,Medium,Yes
66c8a4c8,1a64e403,2024-12-03,5:20,45,1308.12,4,Wallet,4.4,faff1bf4,Restaurant_251,Mumbai,Area_C,Thai,4.9,2667,Medium,Yes
ef0a4ea6,011a44cb,2024-03-05,14:17,43,1780.97,8,"Credit Card",1.7,ccb7be4e,Restaurant_469,Kolkata,Area_E,Italian,4.5,3725,Low,Yes
e6f70fc1,038c894c,2024-03-01,2:23,53,769.76,8,"Credit Card",2.3,83c9c7f5,Restaurant_436,Mumbai,Area_A,Italian,3.5,813,High,Yes
43c1a7fa,3027dc87,2024-03-22,9:39,15,1625.7,9,"Credit Card",4.1,b0b312af,Restaurant_488,Kolkata,Area_C,Thai,2.7,3406,Medium,Yes
60cdd1f2,4074e8a3,2024-01-04,18:05,36,1720.77,4,COD,4.1,7cfc6e28,Restaurant_63,Bangalore,Area_E,Italian,4,449,High,No
67dc077f,430667d9,2024-09-16,9:39,68,1683.54,8,COD,4.9,1c6eb160,Restaurant_43,Chennai,Area_D,Chinese,3.5,300,Medium,Yes
78640174,2caa871e,2024-07-24,21:25,77,1464.79,5,"Net Banking",1.1,8a76a7ee,Restaurant_238,Delhi,Area_B,Italian,4.4,3314,Medium,No
fe1f1fba,14c633c2,2024-12-01,0:41,18,1796.56,3,UPI,5,dbcaa61c,Restaurant_31,Bangalore,Area_D,Mexican,2.5,2851,High,No
5e544f95,14f583e6,2024-09-15,9:07,63,1943.01,9,"Net Banking",4.8,71ea6563,Restaurant_19,Bangalore,Area_B,Chinese,4.6,1786,High,No
20608576,f9c14863,2024-08-28,11:04,66,874.24,6,"Credit Card",3.3,1c2e3e38,Restaurant_400,Kolkata,Area_D,Thai,2.8,4990,Medium,Yes
238c39d4,18cd8d36,2024-10-04,0:25,51,1380,9,Wallet,5,77f59689,Restaurant_467,Delhi,Area_A,Mexican,4.5,2341,Low,No
c9f31cf5,888c6d8e,2024-06-09,18:16,54,832.97,6,"Net Banking",4.3,49d9a0f2,Restaurant_324,Bangalore,Area_E,Chinese,3.3,1907,Low,No
3c3b209c,2c1c8fd9,2024-01-09,20:17,43,1194.58,9,COD,1.7,cfb0cf14,Restaurant_452,Bangalore,Area_C,Indian,3.5,936,High,No
69122b31,7a97d5bd,2024-04-09,15:17,76,978.62,10,"Credit Card",2.5,026ab181,Restaurant_357,Bangalore,Area_E,Italian,3.6,3178,Low,Yes
d6146db5,b535c11e,2024-07-28,8:12,79,312.95,2,Wallet,3,06bbd4b4,Restaurant_390,Kolkata,Area_D,Italian,2.8,3196,Medium,No
7745be5b,568f3f7d,2024-08-11,17:26,65,794.62,8,Wallet,2.2,c1f72d98,Restaurant_125,Chennai,Area_A,Chinese,3.6,3130,Low,No
ab19e60b,fb4e6c20,2024-01-02,11:25,23,906.22,1,COD,4.7,6903437e,Restaurant_298,Mumbai,Area_E,Thai,3.1,2660,Low,No
063eefa4,be805eb6,2024-07-17,9:51,16,1036.39,4,Wallet,4.1,ee9f310d,Restaurant_231,Mumbai,Area_C,Mexican,4.9,1313,Medium,Yes
c6a470a4,b38bf731,2024-05-14,5:45,16,333.49,9,UPI,4.5,71098659,Restaurant_440,Bangalore,Area_C,Mexican,4.3,4219,High,No
1bccc8ff,fe14cbc5,2024-07-19,6:45,54,823.83,7,"Credit Card",2.6,c1f112de,Restaurant_144,Chennai,Area_C,Indian,3.1,1042,High,No
49faa5d4,e9beb11a,2024-05-23,9:40,68,841.92,8,UPI,3.4,6e1843fb,Restaurant_212,Bangalore,Area_D,Thai,4.5,3678,Low,No
f5a2e0aa,b9f91a68,2024-05-13,6:00,56,1737.29,10,COD,3,ee9f310d,Restaurant_231,Mumbai,Area_C,Mexican,4.9,1313,Medium,Yes
efaeaec1,01a5db71,2024-12-07,14:16,57,242.97,2,"Net Banking",2,5e9ad80d,Restaurant_37,Delhi,Area_C,Thai,3.6,4385,Low,No
a94b1aeb,1dca8cac,2024-01-10,16:43,71,1701.87,5,"Credit Card",3.2,ce863def,Restaurant_181,Bangalore,Area_B,Thai,3.1,801,Medium,Yes
feedfa64,a7be49e8,2024-03-08,9:45,80,435.43,8,UPI,3,67baa4fe,Restaurant_289,Delhi,Area_E,Mexican,4,122,Low,No
b45f38bb,1e3479e9,2024-01-08,19:21,20,1838.28,7,UPI,3.3,3b052e56,Restaurant_106,Kolkata,Area_C,Thai,3.5,315,Low,Yes
75625d97,7de30f4f,2024-12-21,0:43,87,536.18,4,Wallet,2.6,f32a3aad,Restaurant_68,Bangalore,Area_A,Indian,4.5,2879,High,No
2b3e7fb5,88d0040e,2024-01-25,7:20,33,832.42,10,UPI,1.4,24efe3fc,Restaurant_208,Kolkata,Area_E,Italian,4,1103,High,No
675eccf2,933fccbe,2024-10-14,22:29,45,308.62,7,COD,2.2,52758fa7,Restaurant_233,Bangalore,Area_D,Indian,2.7,3706,Low,Yes
7afbb478,9ac25578,2024-10-15,13:09,73,546.81,5,Wallet,4.3,2.74E+12,Restaurant_51,Chennai,Area_C,Mexican,3.8,2655,Medium,Yes
062f8d5c,c09dbb30,2024-12-26,8:41,32,736.79,7,"Credit Card",4.3,f4fb2de3,Restaurant_16,Mumbai,Area_E,Indian,3,2251,Low,Yes
ce5fbad2,fa56fc42,2024-11-23,1:43,39,1055.17,10,"Net Banking",3.2,92f9c1c0,Restaurant_137,Chennai,Area_B,Indian,4.9,3813,Medium,Yes
119995c3,e15f16e7,2024-05-21,22:30,73,1447.81,2,"Credit Card",1.6,78dddfb3,Restaurant_286,Delhi,Area_C,Indian,4.9,746,High,Yes
29b6ffbc,5b79a107,2024-08-15,10:28,23,150.5,9,UPI,4.7,d0fd93ce,Restaurant_10,Bangalore,Area_A,Mexican,4.5,2575,Medium,Yes
2a1a831f,60643122,2024-05-26,5:57,36,438.8,10,COD,4.6,bc4f828e,Restaurant_45,Bangalore,Area_B,Indian,2.9,2555,Low,No
d7e8551f,fc98861c,2024-04-11,18:23,41,1920.21,9,Wallet,4.4,08ba20de,Restaurant_127,Bangalore,Area_B,Indian,4.4,3888,High,Yes
dbb9aa85,85cb02c6,2024-09-02,14:41,21,265.38,8,UPI,2.7,4c130690,Restaurant_375,Mumbai,Area_B,Thai,3,3574,Medium,Yes
20158e4c,c2a80a80,2024-04-15,0:23,75,184.81,8,COD,1.4,3ef529e5,Restaurant_466,Chennai,Area_A,Mexican,3.2,4595,High,Yes
5369eabd,c5ea268f,2024-07-05,11:25,48,1814.88,5,"Credit Card",1.3,606db467,Restaurant_348,Delhi,Area_C,Indian,2.5,1168,Medium,Yes
2cc0f588,fbe89ca3,2024-06-13,18:36,57,1894.01,2,"Net Banking",2.9,b7d2e9fd,Restaurant_172,Bangalore,Area_D,Mexican,4.5,2927,Medium,Yes
7c088505,017a4259,2024-08-09,14:37,35,1170.88,7,"Net Banking",4.9,b37bb876,Restaurant_335,Delhi,Area_C,Thai,4.1,3383,Medium,No
2c46c707,0e94b64b,2024-10-01,10:44,67,799.6,1,UPI,2.8,1bc05c14,Restaurant_276,Delhi,Area_B,Italian,4.9,2832,Medium,No
93485977,6939da39,2024-01-25,5:11,34,1886.86,9,Wallet,1.4,bff0bb92,Restaurant_200,Chennai,Area_D,Italian,4.4,1365,High,No
d86d3f67,0be82912,2024-11-23,11:46,64,1759.42,6,Wallet,4.8,0969abfd,Restaurant_193,Chennai,Area_C,Mexican,3.4,1965,High,Yes
c06a5c27,c3e6d3b2,2024-06-09,12:51,55,1999.82,7,COD,2.2,89c96872,Restaurant_373,Bangalore,Area_E,Chinese,4.9,3381,High,Yes
14d627aa,6470a316,2024-09-09,11:51,34,1527.27,5,Wallet,3.3,e6f5e6b1,Restaurant_54,Mumbai,Area_C,Thai,4.8,3055,High,Yes
564f2e82,a0c66069,2024-04-18,17:44,76,496.21,2,Wallet,1.4,d2c59e6e,Restaurant_66,Delhi,Area_B,Indian,4.7,1912,Medium,No
f4552f3b,1bac6e72,2024-06-07,3:58,40,1513.88,4,"Net Banking",3.3,71d4a52a,Restaurant_261,Bangalore,Area_D,Mexican,3.2,3991,Medium,No
e953cfea,6a586047,2024-02-09,7:41,24,381.5,2,COD,1.9,9c80db76,Restaurant_28,Kolkata,Area_D,Italian,4.2,1694,High,Yes
ee51b9fc,5dcf1440,2024-09-17,2:02,42,991.5,1,UPI,3.4,ba31dffb,Restaurant_8,Mumbai,Area_A,Mexican,2.9,4229,Medium,No
220aab4f,2d3dc562,2024-12-18,20:29,69,1131.79,8,Wallet,4.2,fcd19837,Restaurant_184,Kolkata,Area_B,Thai,2.9,4456,Low,No
70c0b45d,dfaa14dd,2024-11-13,2:24,58,1028.69,1,COD,2.6,0c921430,Restaurant_461,Chennai,Area_B,Mexican,3.3,1912,High,No
82150bf8,2eea9f4e,2024-06-27,13:44,37,1191.86,3,UPI,4.3,b8ee95cd,Restaurant_367,Kolkata,Area_A,Thai,2.8,813,Medium,Yes
9f00e65d,e98818ef,2024-06-04,23:47,60,362.39,3,UPI,3.2,4f2f2dc8,Restaurant_3,Chennai,Area_D,Mexican,5,4172,High,Yes
b18f9fcd,1.78E+12,2024-01-08,0:55,68,243.8,1,"Net Banking",2.5,dbcaa61c,Restaurant_31,Bangalore,Area_D,Mexican,2.5,2851,High,No
6e37706c,bd84d3e8,2024-10-17,18:43,40,989.98,4,COD,2.3,e224a5ea,Restaurant_240,Mumbai,Area_A,Mexican,5,2978,High,No
0ac0e45c,71b5ecdc,2024-01-13,16:31,87,1267.27,5,"Credit Card",3.7,c317908c,Restaurant_443,Chennai,Area_D,Mexican,3,2832,Medium,Yes
4c7279ed,46043af0,2024-02-22,12:14,43,397.79,3,COD,1.9,7a6b060d,Restaurant_89,Chennai,Area_B,Mexican,2.9,2787,High,Yes
6e95b630,ee69a6a1,2024-07-28,14:49,37,1323.34,2,COD,3.6,63fa9210,Restaurant_347,Chennai,Area_D,Italian,4.3,1008,Low,Yes
274bfb68,c6503b79,2024-08-19,19:42,79,1489.51,6,"Net Banking",2.2,227aba32,Restaurant_100,Chennai,Area_C,Thai,4.5,4775,High,No
8cd9aedc,3a8b7259,2024-01-05,20:40,78,1559.84,7,"Credit Card",2.4,427b24bc,Restaurant_496,Delhi,Area_C,Mexican,3.2,804,Medium,Yes
205674d7,319d1605,2024-11-21,19:13,56,704.92,10,Wallet,1.2,7975f2ee,Restaurant_494,Kolkata,Area_C,Italian,4.7,2639,High,No
824e1ae4,a6a3041a,2024-10-24,18:01,71,1497.21,1,"Net Banking",1.6,b2cf0b3d,Restaurant_107,Chennai,Area_A,Chinese,3.1,2091,High,Yes
f8183ba9,47916940,2024-01-02,7:14,37,1807.17,2,Wallet,3,da9a321e,Restaurant_303,Delhi,Area_C,Mexican,2.9,1987,Low,Yes
e26b6e57,e58340c2,2024-10-11,13:41,50,1734.19,7,UPI,4,63fa9210,Restaurant_347,Chennai,Area_D,Italian,4.3,1008,Low,Yes
4cc7d4b4,0773bad5,2024-11-20,2:38,33,155.42,7,"Net Banking",4.3,b37bb876,Restaurant_335,Delhi,Area_C,Thai,4.1,3383,Medium,No
d54d98b8,93fa0b9f,2024-03-22,9:48,34,239.84,1,"Net Banking",3.2,fd9d762b,Restaurant_329,Delhi,Area_D,Mexican,4.5,2716,Low,No
23472c9d,b1d43888,2024-07-02,2:16,55,1669.28,2,COD,1,bd857157,Restaurant_210,Mumbai,Area_B,Mexican,3.3,3819,High,No
13f4dfb4,ac8b3f44,2024-07-25,9:22,32,1168.44,2,"Net Banking",2.8,67baa4fe,Restaurant_289,Delhi,Area_E,Mexican,4,122,Low,No
66bdae4f,838ab68c,2024-10-16,9:33,43,987.94,4,Wallet,2.9,d2c59e6e,Restaurant_66,Delhi,Area_B,Indian,4.7,1912,Medium,No
a524dd55,a41e1a0b,2024-06-10,6:21,71,1848.68,9,"Credit Card",4.6,d2c59e6e,Restaurant_66,Delhi,Area_B,Indian,4.7,1912,Medium,No
22abb79c,45142b71,2024-05-02,5:08,58,1024.83,7,"Net Banking",2.2,d92b984c,Restaurant_401,Delhi,Area_D,Chinese,4.2,4468,High,No
5f377c66,23984f15,2024-09-04,17:10,24,436.1,3,COD,2,9bff4316,Restaurant_95,Bangalore,Area_D,Indian,2.7,3241,Low,Yes
2a3f8d37,173255bc,2024-09-19,17:10,87,762.11,4,"Net Banking",3.9,3da5daa9,Restaurant_34,Mumbai,Area_D,Indian,4.7,4710,High,Yes
244b7a57,bd4dfd64,2024-08-05,22:45,62,1523.66,8,Wallet,2.7,ec9059b5,Restaurant_288,Bangalore,Area_D,Chinese,4.1,4259,Low,Yes
b9fa3a4f,7d29934f,2024-08-15,4:43,78,1099.78,1,"Net Banking",1.5,b37bb876,Restaurant_335,Delhi,Area_C,Thai,4.1,3383,Medium,No
09be8cfb,49a7c91b,2024-10-05,10:00,64,553.38,9,"Net Banking",4.4,f00f0b93,Restaurant_178,Delhi,Area_A,Indian,4.9,2399,Low,Yes
7fa49915,d551cade,2024-01-22,22:57,87,941.75,7,"Credit Card",3.1,4c130690,Restaurant_375,Mumbai,Area_B,Thai,3,3574,Medium,Yes
41f985f6,1967fd30,2024-11-21,22:53,20,312.27,7,Wallet,4.6,754bea84,Restaurant_366,Mumbai,Area_E,Indian,3.9,4397,High,No
